"TIME","GEO","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2020W01","Belgium","Number","Total","Total","2,243","p"
"2020W01","Belgium","Number","Total","From 75 to 79 years","228","p"
"2020W01","Belgium","Number","Total","From 80 to 84 years","357","p"
"2020W01","Belgium","Number","Total","From 85 to 89 years","449","p"
"2020W01","Belgium","Number","Total","90 years or over","523","p"
"2020W01","Bulgaria","Number","Total","Total","2,110","p"
"2020W01","Bulgaria","Number","Total","From 75 to 79 years","293","p"
"2020W01","Bulgaria","Number","Total","From 80 to 84 years","356","p"
"2020W01","Bulgaria","Number","Total","From 85 to 89 years","345","p"
"2020W01","Bulgaria","Number","Total","90 years or over","203","p"
"2020W01","Czechia","Number","Total","Total","2,305","p"
"2020W01","Czechia","Number","Total","From 75 to 79 years","337","p"
"2020W01","Czechia","Number","Total","From 80 to 84 years","325","p"
"2020W01","Czechia","Number","Total","From 85 to 89 years","367","p"
"2020W01","Czechia","Number","Total","90 years or over","328","p"
"2020W01","Denmark","Number","Total","Total","1,117","p"
"2020W01","Denmark","Number","Total","From 75 to 79 years","151","p"
"2020W01","Denmark","Number","Total","From 80 to 84 years","158","p"
"2020W01","Denmark","Number","Total","From 85 to 89 years","218","p"
"2020W01","Denmark","Number","Total","90 years or over","200","p"
"2020W01","Germany (until 1990 former territory of the FRG)","Number","Total","Total","18,903","p"
"2020W01","Germany (until 1990 former territory of the FRG)","Number","Total","From 75 to 79 years",":",""
"2020W01","Germany (until 1990 former territory of the FRG)","Number","Total","From 80 to 84 years","3,669","p"
"2020W01","Germany (until 1990 former territory of the FRG)","Number","Total","From 85 to 89 years","3,508","p"
"2020W01","Germany (until 1990 former territory of the FRG)","Number","Total","90 years or over","3,921","p"
"2020W01","Estonia","Number","Total","Total","296","p"
"2020W01","Estonia","Number","Total","From 75 to 79 years","27","p"
"2020W01","Estonia","Number","Total","From 80 to 84 years","39","p"
"2020W01","Estonia","Number","Total","From 85 to 89 years","54","p"
"2020W01","Estonia","Number","Total","90 years or over","53","p"
"2020W01","Greece","Number","Total","Total","2,748","p"
"2020W01","Greece","Number","Total","From 75 to 79 years","292","p"
"2020W01","Greece","Number","Total","From 80 to 84 years","459","p"
"2020W01","Greece","Number","Total","From 85 to 89 years","638","p"
"2020W01","Greece","Number","Total","90 years or over","604","p"
"2020W01","Spain","Number","Total","Total","8,655","p"
"2020W01","Spain","Number","Total","From 75 to 79 years","899","p"
"2020W01","Spain","Number","Total","From 80 to 84 years","1,208","p"
